Label,Name,Index,X,Y
IMG_4766_roi-1,MB,0,2148,2042
IMG_4766_roi-1,MB,0,2124,1812
IMG_4766_roi-1,MB,0,2110,1580
IMG_4766_roi-1,MB,0,2120,1406
IMG_4766_roi-1,MB,0,2130,1224
IMG_4766_roi-1,MB,0,2118,1114
IMG_4766_roi-1,MB,0,2116,956
IMG_4766_roi-1,MB,0,2136,954
IMG_4766_roi-1,MB,0,2164,826
IMG_4766_roi-1,MB,0,2172,706
IMG_4766_roi-1,MB,0,2188,580
IMG_4766_roi-2,SB1,1,2148,2008
IMG_4766_roi-2,SB1,1,2202,1910
IMG_4766_roi-2,SB1,1,2206,1808
IMG_4766_roi-2,SB1,1,2224,1600
IMG_4766_roi-2,SB1,1,2260,1462
IMG_4766_roi-2,SB1,1,2274,1216
IMG_4766_roi-2,SB1,1,2260,1086
IMG_4766_roi-2,SB1,1,2268,1024
IMG_4766_roi-2,SB1,1,2290,1022
IMG_4766_roi-2,SB1,1,2274,940
IMG_4766_roi-3,SB1LB,8,2204,1830
IMG_4766_roi-3,SB1LB,8,2158,1722
IMG_4766_roi-3,SB1LB,8,2146,1660
IMG_4766_roi-4,SB2,2,2146,2006
IMG_4766_roi-4,SB2,2,2074,1968
IMG_4766_roi-4,SB2,2,1966,1710
IMG_4766_roi-4,SB2,2,1970,1546
IMG_4766_roi-4,SB2,2,1966,1338
IMG_4766_roi-4,SB2,2,1968,1220
IMG_4766_roi-4,SB2,2,1960,1156
IMG_4766_roi-4,SB2,2,1966,1004
IMG_4766_roi-4,SB2,2,1942,844
IMG_4766_roi-5,SB3,3,2126,1842
IMG_4766_roi-5,SB3,3,2062,1804
IMG_4766_roi-5,SB3,3,1990,1754
IMG_4766_roi-5,SB3,3,1904,1602
IMG_4766_roi-5,SB3,3,1874,1520
IMG_4766_roi-5,SB3,3,1872,1164
IMG_4766_roi-5,SB3,3,1896,1064
IMG_4766_roi-6,SB4,4,2114,1734
IMG_4766_roi-6,SB4,4,2090,1704
IMG_4766_roi-6,SB4,4,2028,1618
IMG_4766_roi-6,SB4,4,1976,1534
IMG_4766_roi-6,SB4,4,1994,1522
IMG_4766_roi-6,SB4,4,2012,1424
IMG_4766_roi-7,SB5,5,2108,1598
IMG_4766_roi-7,SB5,5,2066,1522
IMG_4766_roi-7,SB5,5,2038,1380
IMG_4766_roi-7,SB5,5,1974,1162
IMG_4766_roi-7,SB5,5,1974,1150
IMG_4766_roi-8,SB6,6,2120,1708
IMG_4766_roi-8,SB6,6,2196,1560
IMG_4766_roi-8,SB6,6,2174,1330
IMG_4766_roi-8,SB6,6,2170,1164
IMG_4766_roi-8,SB6,6,2128,1060
IMG_4766_roi-9,SB2LB,9,2022,1848
IMG_4766_roi-9,SB2LB,9,1978,1786
IMG_4766_roi-9,SB2LB,9,1942,1702
IMG_4766_roi-9,SB2LB,9,1916,1572
IMG_4766_roi-9,SB2LB,9,1922,1444
IMG_4766_roi-10,SB7,7,2126,1828
IMG_4766_roi-10,SB7,7,2218,1664
IMG_4766_roi-10,SB7,7,2274,1458
IMG_4766_roi-10,SB7,7,2280,1224
IMG_4766_roi-10,SB7,7,2306,1092
IMG_4766_roi-10,SB7,7,2250,922
IMG_4766_roi-10,SB7,7,2304,780
