Label,Name,Index,X,Y
IMG_4764_roi-1,MB,0,2067,2181
IMG_4764_roi-1,MB,0,2028,1926
IMG_4764_roi-1,MB,0,1977,1746
IMG_4764_roi-1,MB,0,1926,1485
IMG_4764_roi-1,MB,0,1911,1326
IMG_4764_roi-1,MB,0,1881,1215
IMG_4764_roi-1,MB,0,1896,1095
IMG_4764_roi-1,MB,0,1884,984
IMG_4764_roi-1,MB,0,1830,870
IMG_4764_roi-2,SB1,1,2043,1986
IMG_4764_roi-2,SB1,1,1977,1914
IMG_4764_roi-2,SB1,1,1953,1812
IMG_4764_roi-2,SB1,1,1896,1665
IMG_4764_roi-2,SB1,1,1818,1506
IMG_4764_roi-2,SB1,1,1791,1317
IMG_4764_roi-2,SB1,1,1737,1272
IMG_4764_roi-3,SB2,2,2016,1872
IMG_4764_roi-3,SB2,2,1899,1824
IMG_4764_roi-3,SB2,2,1818,1671
IMG_4764_roi-3,SB2,2,1755,1518
IMG_4764_roi-3,SB2,2,1701,1419
IMG_4764_roi-3,SB2,2,1704,1224
IMG_4764_roi-4,SB3,3,2049,2040
IMG_4764_roi-4,SB3,3,2130,1809
IMG_4764_roi-4,SB3,3,2145,1653
IMG_4764_roi-4,SB3,3,2118,1479
IMG_4764_roi-4,SB3,3,2103,1326
IMG_4764_roi-4,SB3,3,2178,1257
IMG_4764_roi-5,SB4,4,2019,1923
IMG_4764_roi-5,SB4,4,2091,1833
IMG_4764_roi-5,SB4,4,2124,1614
IMG_4764_roi-5,SB4,4,2124,1485
IMG_4764_roi-5,SB4,4,2157,1347
IMG_4764_roi-5,SB4,4,2154,1269
IMG_4764_roi-5,SB4,4,2205,1167
IMG_4764_roi-5,SB4,4,2220,1023
IMG_4764_roi-6,SB5,5,2004,1827
IMG_4764_roi-6,SB5,5,2025,1719
IMG_4764_roi-6,SB5,5,2004,1656
IMG_4764_roi-6,SB5,5,1980,1608
IMG_4764_roi-7,SB6,6,1953,1629
IMG_4764_roi-7,SB6,6,1866,1509
IMG_4764_roi-7,SB6,6,1836,1392
IMG_4764_roi-7,SB6,6,1836,1302
IMG_4764_roi-7,SB6,6,1773,1266
IMG_4764_roi-8,SB7,7,1935,1437
IMG_4764_roi-8,SB7,7,1950,1353
IMG_4764_roi-8,SB7,7,1959,1233
IMG_4764_roi-8,SB7,7,1926,1200
